('0d5b1b2b-a704-49bf-93d0-abf1fc352e6d', 'opis_zdarzenia', True),
('c1e732d1-de90-41a3-8aba-548985a67fcf', 'opis_zdarzenia', True),
('6d37d074-f805-4780-85f5-ff7484a5039d', 'opis_zdarzenia', True),
('293babd0-3700-4b18-bd1e-03fa6be12d80', 'opis_zdarzenia', True),
('20de24fb-92ed-4f06-b039-b6b3563908ae', 'opis_zdarzenia', True),
('33cf376c-a50f-44a3-9f4c-e0d1f50ae723', 'opis_zdarzenia', True),
('94ff15c7-8f0c-4b8b-95d8-dcb6e01d3242', 'opis_zdarzenia', True),
('270e60af-aeda-4773-a364-c83c33ccc6b7', 'opis_zdarzenia', True),
('bf601936-6524-489b-b839-31a0859ad94f', 'opis_zdarzenia', True),
('2ca3f0bc-4ac7-4f0e-b4a7-5b18c7ea8cca', 'opis_zdarzenia', True),
('7b064af8-fefd-4d3a-8029-9996d69d5e68', 'opis_zdarzenia', True),
('526e7b82-832e-4b05-af40-36da0d7ed101', 'opis_zdarzenia', True),
('659476e8-471f-43dd-889d-25b31b555e41', 'opis_zdarzenia', True),
('9f52ee3c-12c3-4844-8804-c3742512bd4c', 'opis_zdarzenia', True),
('d07f4dec-acb9-44bd-bad5-242cf67975a3', 'opis_zdarzenia', True),
('a82e26db-7e8d-4e1b-a132-b4cfb4142c40', 'opis_zdarzenia', True),
('60275574-a244-4544-88bd-66069914e353', 'opis_zdarzenia', True),
('79d6bba2-f993-497c-8dfe-4ee767c95602', 'opis_zdarzenia', True),
('5185e383-f669-43cc-a83a-67e330ea24b0', 'opis_zdarzenia', True),
('97a10642-2ac0-4ed8-87fa-6d6a16044514', 'opis_zdarzenia', True),
('7bb3a23b-9c20-4f77-82a5-07ccd89fdccc', 'opis_zdarzenia', True),
('701fb31f-f6f8-4583-9667-54dfec76fbe2', 'opis_zdarzenia', True),
('9092dc66-39b7-4221-8b32-94154a00295f', 'opis_zdarzenia', True),
('d83378eb-ed58-4215-a4db-33198969b107', 'opis_zdarzenia', True),
('d9a77ddc-c017-4e30-93b4-87136b7a6d4f', 'opis_zdarzenia', True),
('67dd80ca-cf37-4a46-963e-49ad735347e6', 'opis_zdarzenia', True),
('ac7e20cc-5288-426b-b205-cd710d3c3fa3', 'opis_zdarzenia', True),
('3787da6c-b196-4fb7-a402-2f18a9bcc5d8', 'opis_zdarzenia', True),
('30abf898-42da-4bde-9de6-760eef70135e', 'opis_zdarzenia', True),
('d85d0167-3b8f-42b6-b83f-d4e2ba8f15f2', 'opis_zdarzenia', True),
('4a00d3ad-cdc1-4854-980e-637bb2de4a5f', 'opis_zdarzenia', True),
('1598c930-dbbf-4254-8621-b25c0cdec616', 'opis_zdarzenia', True),
('2687ba6b-a7fa-4ed3-a2a6-ce30b5625f78', 'opis_zdarzenia', True),
('4f3a69a1-7d7a-4747-ae9d-ae806473dc63', 'opis_zdarzenia', True),
('7f2e784e-e5ed-450a-9e8a-3d324f147eb6', 'opis_zdarzenia', True),
('3691e9f7-4075-445b-898d-4b7cfabae5ee', 'opis_zdarzenia', True),
('5e576bd7-b7a1-4aeb-9426-7a4b31593555', 'opis_zdarzenia', True),
('9dbc3350-8106-495c-88af-0701bc621c0d', 'opis_zdarzenia', True),
('7e71106b-008a-4c04-87c1-86195d04f9b2', 'opis_zdarzenia', True),
('d65ece50-b55d-48c5-921a-5f2ac738c5ee', 'opis_zdarzenia', True),
('8aa92cff-51bb-4f09-b907-4e60ba25d440', 'opis_zdarzenia', True),
('1c2ad60f-8a8e-48ba-9bca-65d2dc3ca641', 'opis_zdarzenia', True),
('4aaa275a-9a5a-4a14-8a03-f69f3e7013a2', 'opis_zdarzenia', True),
('a45af5d5-e9ca-4d49-9e77-99223b171000', 'opis_zdarzenia', True),
('d322053f-269a-42d5-a8aa-7de91f8c5fed', 'opis_zdarzenia', True),
('268309af-231d-43fa-96e4-b3482265b320', 'opis_zdarzenia', True),
('f0441ee4-bb5d-4058-86f7-e1a46ba9f637', 'opis_zdarzenia', True),
('9b0ef7d8-887a-4dd8-8108-7454b7f4332b', 'opis_zdarzenia', True),
('de63517c-a790-4b60-9a25-4417c9fd8d79', 'opis_zdarzenia', True),
('ca5afb37-8861-455c-9416-8aaf2b4b7b6b', 'opis_zdarzenia', True),
('c171f168-7d44-4864-b291-d44a587aaaa7', 'opis_zdarzenia', True),
('6edcfc79-6c31-4c05-af9d-c71134c6bf6a', 'opis_zdarzenia', True),
('7e08756d-97fa-4f2a-87ca-df110501ef74', 'opis_zdarzenia', True),
('cea5607c-2e27-407f-9dcd-b06a14c29d5c', 'opis_zdarzenia', True),
('acc39ae6-56fc-482e-a35d-9ec22c7e8262', 'opis_zdarzenia', True),
('3c480ffe-9f15-4038-b553-7a516ddf99fb', 'opis_zdarzenia', True),
('5dd009d2-3530-4c65-949b-67f9a863906f', 'opis_zdarzenia', True),
('f62a4e52-98ce-4a35-be98-d0fd934ee8c7', 'opis_zdarzenia', True),
('877093f4-1016-46df-9f35-d3d6b3d3ed87', 'opis_zdarzenia', True),
('67480805-e55e-40f1-8a52-b9e7d2b91760', 'opis_zdarzenia', True),
('230ced9d-d7b3-40ea-83ee-2c3adda27b20', 'opis_zdarzenia', True),
