('9187302b-91f6-45f5-91db-f408e2ff43ae', 53.8249945, 22.3619798, 'Poland', 'Olsztyn', '19-305', 'Street', 'Mallory', 30, 57),
('75fe6f8b-cb4b-4188-8d64-0e3d81f2db4a', 49.4705944, 20.1323725, 'Poland', 'Sosnowiec', '34-432', 'Point', 'South', 30, 19),
('131c00fb-cea4-4ec8-9229-c44996939707', 52.3346733, 19.2782681, 'Poland', 'Gdañsk', '99-306', 'Crossing', 'Express', 12, 23),
('bf732c85-03b7-453e-bb73-e6867693940b', 52.7815, 20.11774, 'Poland', 'Gdañsk', '09-140', 'Trail', 'Columbus', 17, 52),
('cbe3b5b6-ff53-4b52-acca-98ea67ea46c8', 49.6859609, 19.1804324, 'Poland', 'Toruñ', '05-540', 'Crossing', 'Del Mar', 26, 25),
('3a015c9c-b5d7-43a5-8943-bb139ad697bb', 54.6164547, 18.1757954, 'Poland', 'Lublin', '84-239', 'Avenue', 'Mesta', 72, 37),
('c0582372-f422-4e7a-ac3f-533eff8e446c', 54.7381652, 18.5728399, 'Poland', 'Gdañsk', '84-130', 'Crossing', 'Melby', 66, 35),
('bb6d80b4-d513-4c5c-b622-b08a1ff01984', 53.00942, 17.73989, 'Poland', 'Poznañ', '89-200', 'Court', 'Everett', 11, 15),
('b13fae66-68da-4964-a08f-8855ca5682aa', 50.3406189, 21.050137, 'Poland', 'Lublin', '76-280', 'Drive', 'Northwestern', 25, 2),
('3011db86-188c-4e35-adf9-14cfabf22053', 53.00338, 14.96923, 'Poland', 'Opole', '74-240', 'Parkway', 'Stuart', 10, 60),
('763cf9ac-c39a-447e-93fb-2f846fcf3c88', 50.003461, 19.612945, 'Poland', 'Kraków', '34-115', 'Terrace', 'Johnson', 9, 36),
('2fe11fc2-3b0b-4ae6-b356-a8db5a800af5', 53.63918, 15.62129, 'Poland', 'Lublin', '73-150', 'Circle', 'Aberg', 29, 55),
('46f05983-2bdc-428e-9540-0f383391d373', 50.1028869, 22.558021, 'Poland', 'Gdañsk', '37-511', 'Avenue', 'Monterey', 45, 8),
('bd437822-9da6-4e49-a791-dbcd2d27ceda', 51.29579, 18.38073, 'Poland', 'Sosnowiec', '85-056', 'Terrace', 'Eastlawn', 26, 5),
('dd6d1ce1-700a-45bc-97ff-b51f07165c1a', 52.6683384, 19.5041229, 'Poland', 'Bydgoszcz', '09-414', 'Plaza', 'Havey', 31, 32),
('f2c7b658-d546-42b5-9137-fe7ad5a4cb7e', 49.9800949, 19.234704, 'Poland', 'Szczecin', '32-615', 'Parkway', 'Westend', 27, 40),
('d29d3f9a-bd86-4cb2-9ce7-03b4d6f69909', 51.6113555, 19.8982345, 'Poland', 'Poznañ', '97-225', 'Alley', 'Eggendart', 61, 44),
('d2ab96af-c25e-4d12-9d3f-6967d9d2d33f', 49.9521852, 18.4800457, 'Poland', 'Kielce', '44-348', 'Road', 'Merchant', 5, 38),
('f3316766-91c0-4420-9d46-c11be4d5d7c2', 50.0248149, 20.6621099, 'Poland', 'Zielona Góra', '32-854', 'Alley', 'Shoshone', 2, 30),
('f79ff64a-8654-4b93-b27e-cebed3121295', 53.2166678, 19.0555956, 'Poland', 'Bia³ystok', '87-207', 'Avenue', 'Merchant', 77, 16),
('d35f4cdf-59d5-41c7-9e45-9104a32e3050', 50.3490504, 23.3268124, 'Poland', 'Warszawa', '37-610', 'Street', 'Portage', 31, 57),
('736f707d-13aa-4bda-ac7d-a80bcf0296bf', 49.5631235, 21.7899388, 'Poland', 'Olsztyn', '38-440', 'Hill', 'Bashford', 64, 18),
('3eadc235-f418-4de4-84e4-0bae53ba8c48', 51.9611016, 15.959277, 'Poland', 'Olsztyn', '67-415', 'Avenue', 'Crownhardt', 66, 12),
('99311e59-f505-4c62-b65b-09c9304b389a', 52.2902011, 22.4724915, 'Poland', 'Bia³ystok', '08-107', 'Pass', 'Manitowish', 62, 3),
('6dbeb7e4-94f4-4061-89cf-2f970bde7742', 52.1316395, 23.0297501, 'Poland', 'Opole', '21-542', 'Lane', 'Burning Wood', 30, 44),
('37774d7f-1f75-40ee-8a64-30791edaae93', 53.1405147, 21.0511534, 'Poland', 'Kraków', '06-323', 'Junction', 'Monica', 14, 41),
('773881f2-1b97-4207-bcb5-099f2e87f50c', 53.8298337, 20.275033, 'Poland', 'Zielona Góra', '11-042', 'Road', '1st', 15, 19),
('525bafb7-674f-40dc-a22e-bf35c5e10c6e', 50.69625, 17.38516, 'Poland', 'Sosnowiec', '49-200', 'Circle', 'Tomscot', 71, 14),
('5339d4d8-ef79-4b56-a67e-2f69548baf55', 49.911732, 20.8725617, 'Poland', 'Sosnowiec', '33-115', 'Way', 'Bultman', 22, 47),
('1d4a62a8-94b6-4803-ae36-bb2861b77307', 51.9696042, 18.7966596, 'Poland', 'Bydgoszcz', '99-210', 'Avenue', 'Roth', 75, 52),
('88c77db7-c9ed-4b70-9158-58f5c1bc19d5', 49.4980908, 19.7793013, 'Poland', 'Szczecin', '34-472', 'Center', 'Kingsford', 63, 22),
('4884c2de-b2dd-42d5-9980-c746ef89f05c', 50.71966, 16.345569, 'Poland', 'Kraków', '58-330', 'Court', 'Stephen', 65, 14),
('3b2243dd-0056-4d4e-a6a7-b63bbeb75f42', 49.9805725, 19.5512903, 'Poland', 'Bia³ystok', '34-115', 'Place', 'Cardinal', 36, 9),
('7481b17b-a8cb-4dcd-8b64-b18079573585', 51.7565958, 20.9183286, 'Poland', 'Zielona Góra', '24-340', 'Alley', 'Kropf', 14, 23),
('916356de-a449-4f01-a2f3-4540770c0f54', 50.8508489, 21.0111639, 'Poland', 'Poznañ', '42-262', 'Point', 'Cherokee', 78, 46),
('f492f639-22e9-44c6-8a31-da32ddda48c4', 49.7863419, 21.9461429, 'Poland', 'Bia³ystok', '36-230', 'Drive', 'Green Ridge', 36, 30),
('99b4f937-b59d-4c22-9de3-70e0a4aa2b2f', 50.1069802, 20.6303821, 'Poland', 'Toruñ', '32-820', 'Drive', 'Harper', 18, 44),
('5c4b329e-dddd-42d3-a708-73b374cac5e6', 52.6924095, 14.6086793, 'Poland', 'Szczecin', '74-407', 'Court', 'Jana', 18, 14),
('6d9281c9-a244-434e-b3e9-40d7a12c0ceb', 50.8525432, 21.384343, 'Poland', 'Kraków', '27-580', 'Alley', 'Fallview', 44, 27),
('af083d76-9aa3-4ce7-982e-6575844436b0', 50.1823264, 19.2871769, 'Poland', 'Gdañsk', '05-094', 'Hill', 'Valley Edge', 70, 42),
('48a04856-2b02-4f63-8363-fe1fde73f5e7', 51.04762, 20.8292701, 'Poland', 'Wroc³aw', '26-130', 'Way', '5th', 55, 46),
('2a28cd07-33b1-4e99-bc11-df9deecf602a', 50.9330498, 23.3519912, 'Poland', 'Toruñ', '22-310', 'Drive', 'Kenwood', 66, 23),
('3dc044b8-158c-40d0-827b-2cfe4cddd057', 50.1674668, 18.9067921, 'Poland', 'Kielce', '43-196', 'Street', 'Lerdahl', 53, 53),
('a36d4900-ccb9-4cf0-8c8e-e3a5ac5438e3', 51.31653, 16.2304569, 'Poland', 'Warszawa', '47-232', 'Plaza', 'Valley Edge', 48, 24),
('3b1df33a-42cc-4d65-aeff-f4c49a107073', 51.4492786, 22.6839074, 'Poland', 'Bia³ystok', '21-107', 'Court', 'School', 37, 9),
('22aacb29-91b6-4151-9e8b-1be6b7ba3560', 51.78914, 21.59133, 'Poland', 'Bia³ystok', '08-450', 'Plaza', 'Coolidge', 1, 37),
('00c35146-3e4a-40de-8070-b43b11a802c0', 51.748067, 18.492437, 'Poland', 'Opole', '43-354', 'Plaza', 'Bluestem', 21, 15),
('adafebb7-8de2-4e7b-9f0f-54a8574d1e45', 51.667293, 19.93565, 'Poland', 'Kraków', '97-212', 'Plaza', 'Bowman', 27, 30),
('1ef2f8d0-2a69-4c4a-98af-9d481d28829b', 51.569012, 21.376182, 'Poland', 'Poznañ', '15-134', 'Place', 'Rutledge', 15, 4),
('dfb3300f-5a21-43d6-b35f-fac13d59da9c', 53.175543, 21.296838, 'Poland', 'Poznañ', '06-320', 'Way', 'Granby', 39, 24),
('5189ce54-5918-4a67-a05d-94cfd9c6cccd', 51.5671926, 19.3967389, 'Poland', 'Olsztyn', '95-081', 'Alley', 'Golf Course', 67, 59),
('8cb00bba-b133-45e3-b839-0b34ecb64361', 49.7371648, 19.9186389, 'Poland', 'Kraków', '32-435', 'Crossing', 'Dorton', 38, 30),
('e43edf81-abdd-4524-a186-fe83a8465699', 53.2001742, 14.7571949, 'Poland', 'Kraków', '74-202', 'Parkway', 'Cherokee', 38, 60),
('0ba94bf1-5e0a-48e1-8508-2340d438bedb', 49.8413005, 19.7366045, 'Poland', '£ódŸ', '34-143', 'Hill', 'Eagle Crest', 67, 3),
('49324127-f0c0-4831-9e2b-f26c8bcd1eac', 51.6113555, 19.8982345, 'Poland', 'Kraków', '97-225', 'Plaza', 'Sugar', 6, 26),
('132abe3e-51d7-4cc6-8142-9490885cd7a6', 51.0640549, 20.3927571, 'Poland', 'Opole', '26-212', 'Court', 'Anthes', 68, 33),
('d716b70e-59dd-4169-9e27-3814a562e227', 53.175543, 21.296838, 'Poland', 'Szczecin', '06-320', 'Court', 'Dapin', 25, 9),
('0781b8fa-dabe-41a0-96c1-902ab8dcdffc', 53.5484541, 18.9455238, 'Poland', 'Toruñ', '86-318', 'Drive', 'Shopko', 32, 9),
('09b06ea0-3260-40f4-9ddb-6efba450e214', 51.341066, 21.063409, 'Poland', 'Poznañ', '16-303', 'Crossing', 'Miller', 70, 31),
('c3a40021-a986-4214-a582-ccdea1000523', 49.7529886, 21.9739202, 'Poland', 'Szczecin', '36-221', 'Avenue', 'Pennsylvania', 7, 26),
('da9815e9-0fa0-4b14-9691-e418d0320a37', 50.8839386, 18.6840269, 'Poland', 'Poznañ', '42-141', 'Crossing', 'Troy', 9, 11),
('4da3fdf2-bf95-4bf4-8d88-2098c359c9cc', 51.2688569, 22.636336, 'Poland', 'Sosnowiec', '21-003', 'Alley', 'Troy', 5, 33),
('f903a8b7-585e-47b8-b138-842cfd692e8d', 50.05797, 22.183619, 'Poland', 'Warszawa', '37-127', 'Point', 'Brown', 11, 16),
('bf404563-e2bf-446a-9930-dde0a6508434', 49.69427, 22.0193601, 'Poland', 'Olsztyn', '36-200', 'Terrace', 'Bayside', 78, 11),
('774171b4-fd02-4513-9b94-30e018ddbd22', 50.3399747, 22.9892667, 'Poland', 'Katowice', '23-413', 'Circle', '7th', 36, 49),
('76fcf15d-be28-4d1e-b31a-e59f1bc878c5', 52.7704654, 17.9583306, 'Poland', 'Kraków', '88-306', 'Lane', 'Ridge Oak', 58, 27),
('cb6c386e-aa84-4bd8-be4c-15113a2e3b84', 51.6878774, 23.1996378, 'Poland', 'Kielce', '21-222', 'Lane', 'Grim', 1, 7),
('f90a3b25-bf57-4bca-ae0b-0dff18d906f6', 52.55694, 17.0351289, 'Poland', 'Opole', '62-096', 'Court', 'Hermina', 69, 13),
('02035f00-95be-478f-9f5e-53c93a239be8', 52.7402052, 20.9439427, 'Poland', 'Gdañsk', '06-126', 'Lane', 'Loftsgordon', 10, 40),
('74c3da2e-1fdb-4d7e-bd34-39b98347a6c9', 51.82709, 17.4539199, 'Poland', 'Poznañ', '63-720', 'Drive', 'Manufacturers', 28, 59),
('293da1ee-3ce0-48fc-ba0e-ee6ce8f70c67', 49.8162832, 19.3295966, 'Poland', 'Opole', '32-652', 'Junction', 'Upham', 70, 20),
('c47bc803-cdd8-4ff5-b294-15a738aa0e81', 54.1170868, 17.3165528, 'Poland', 'Wroc³aw', '77-133', 'Road', 'Thackeray', 62, 43),
('f99d0338-0c28-4745-8d8b-36db6d89fe89', 51.8964003, 18.9565781, 'Poland', 'Toruñ', '05-094', 'Plaza', 'Towne', 80, 44),
('7a6839d4-05c6-4652-89cb-ae22b7afa001', 52.0872281, 18.8224372, 'Poland', 'Kraków', '62-660', 'Hill', 'Walton', 56, 14),
('44fdbbcb-3393-486b-8b6c-590fb6ae6c8c', 49.8474618, 19.1473808, 'Poland', 'Poznañ', '43-340', 'Hill', '8th', 67, 14),
('4fbccbc0-c42b-4f32-b18a-810a879736c2', 53.180879, 17.0835566, 'Poland', 'Katowice', '89-320', 'Drive', 'Maple Wood', 42, 34),
('8742b62b-ca7c-49be-9f4b-2c54a716a0ed', 50.6283477, 18.7971435, 'Poland', '£ódŸ', '42-286', 'Crossing', 'Onsgard', 21, 28),
('ffd2be1e-d57f-4c4e-ad84-5fca6aa05216', 52.1859951, 20.8461704, 'Poland', 'Sosnowiec', '05-820', 'Trail', 'Killdeer', 12, 39),
('8f4b510d-4e59-4320-83cf-93f20a7c1ac5', 49.8474618, 19.1473808, 'Poland', 'Opole', '43-340', 'Alley', 'Jenna', 65, 55),
('b16fd6b0-4064-4ce3-b0c9-7cc87dbb184b', 50.7592361, 17.6835478, 'Poland', 'Gdañsk', '49-345', 'Park', 'Lyons', 28, 5),
('b5b87810-3e1a-49f7-8665-48be65729292', 53.0418691, 16.4616756, 'Poland', 'Zielona Góra', '64-980', 'Alley', 'Bluejay', 30, 60),
('2b426c04-1efd-437c-9134-411fe680b9a4', 50.13334, 20.8861701, 'Poland', '£ódŸ', '33-240', 'Court', 'Heath', 23, 56),
('6a2e97ed-b892-44a0-a73a-43d31fb26a9c', 52.8358853, 21.8233603, 'Poland', 'Katowice', '07-310', 'Parkway', 'Eagan', 74, 20),
('ff5842ce-ecd0-42ec-a3a6-744068ded899', 49.8981462, 19.7352476, 'Poland', 'Toruñ', '34-142', 'Lane', 'Badeau', 79, 7),
('289bb038-7116-4794-a0ca-86740bd7b8dd', 50.5750633, 16.6553945, 'Poland', 'Toruñ', '57-215', 'Avenue', 'Sugar', 16, 43),
('854ff5c5-fb9e-43de-9235-334f9ede45d6', 50.2505714, 19.7778549, 'Poland', 'Opole', '32-045', 'Alley', 'Talmadge', 24, 29),
('c1bc4ca3-9b55-414d-9880-5b66b210613e', 50.6992259, 21.896691, 'Poland', 'Sosnowiec', '93-154', 'Circle', 'Bellgrove', 54, 44),
('9e6388d9-1871-49de-a9df-72a39f392f1d', 49.896113, 19.665565, 'Poland', 'Zielona Góra', '34-143', 'Pass', 'Duke', 79, 40),
('b1a6993e-24b8-4dd4-be59-0c8c7569e2a4', 49.8799472, 20.6937448, 'Poland', 'Opole', '32-859', 'Terrace', 'Bobwhite', 66, 14),
('ddb51163-09d7-4061-9df2-c0858c8b4e7c', 50.0248149, 20.6621099, 'Poland', 'Warszawa', '32-854', 'Avenue', 'Pepper Wood', 77, 19),
('eca51966-9aee-429d-a326-cfd6bd3f6057', 52.8769629, 17.950135, 'Poland', 'Zielona Góra', '88-193', 'Lane', 'Mosinee', 3, 12),
('a100ab47-5549-4238-a0b7-ace3339c5dad', 53.2001742, 14.7571949, 'Poland', '£ódŸ', '74-202', 'Circle', 'Daystar', 44, 58),
('b433bee9-4ca0-4625-aba2-f96e61fffed4', 51.7567459, 22.7817467, 'Poland', 'Kraków', '21-310', 'Center', 'Charing Cross', 21, 57),
('4e3dfad5-56ed-4c27-a5c3-cd208238934c', 51.05359, 18.4535, 'Poland', 'Toruñ', '46-320', 'Center', 'Crowley', 20, 9),
('5c780fdb-1159-4395-8569-f0b26903eb07', 49.9086926, 19.9865104, 'Poland', 'Bia³ystok', '32-447', 'Terrace', 'Holy Cross', 66, 43),
('3d278348-4309-4ed5-bcef-d71060aab505', 51.4159, 16.4275399, 'Poland', 'Kielce', '59-330', 'Parkway', 'Melody', 41, 30),
('d1b9be3a-3e65-4769-ba81-b2ea8ead040c', 51.4270935, 21.3306176, 'Poland', 'Olsztyn', '26-630', 'Place', 'Marquette', 43, 35),
('06f3da40-c747-4720-84e2-b2caf692975b', 50.8667699, 18.828601, 'Poland', 'Szczecin', '42-294', 'Road', 'Merrick', 58, 44),
('27772231-2479-4ad0-aad9-abcfae6df728', 52.1828337, 19.4568355, 'Poland', 'Katowice', '99-314', 'Center', 'Calypso', 73, 25),
('1804ddbd-1f18-451d-8bda-fe170d665d98', 54.80342, 18.37338, 'Poland', 'Szczecin', '84-120', 'Lane', 'Springs', 14, 4),
('94d68b42-da9e-4b7b-97bf-f1bd6d68fd86', 50.8022561, 20.80789, 'Poland', 'Szczecin', '26-021', 'Lane', 'Coleman', 63, 19),
('615fab6b-1466-48fa-99e2-df43b0bce2b9', 50.0259849, 22.1693843, 'Poland', 'Kielce', '37-124', 'Circle', 'Coolidge', 26, 58),
('2c231bee-e23a-47bf-bb2f-a1ebf41b3b59', 51.669945, 16.5376529, 'Poland', 'Toruñ', '56-200', 'Junction', 'Esch', 2, 8),
('2d464f2b-2111-42e8-ac86-3f3672cadccb', 51.3830331, 20.0136604, 'Poland', 'Zielona Góra', '26-341', 'Terrace', 'Mallory', 50, 14),
('3d670bd9-049c-4a3c-a580-8af5a3a3e8eb', 53.8298337, 20.275033, 'Poland', 'Sosnowiec', '11-042', 'Alley', 'Dakota', 57, 54),
('21fee814-3251-40f9-8c0b-a2430e82f7f4', 49.4303242, 22.5942366, 'Poland', 'Opole', '38-700', 'Court', 'Gale', 73, 16),
('e9caa40f-7641-465f-beab-3518e68e77aa', 52.958936, 21.8130562, 'Poland', 'Kielce', '07-407', 'Pass', 'Daystar', 28, 57),
('f1489fe5-83b0-40ce-ad4e-83912f3c4b63', 54.2787562, 18.5760979, 'Poland', 'Katowice', '83-010', 'Court', 'Artisan', 77, 6),
('28f63e6e-d321-4810-b29f-6dc89ef824da', 53.00338, 14.96923, 'Poland', '£ódŸ', '74-240', 'Place', 'Morningstar', 33, 8),
('3a731a81-aaa6-4d17-b364-7cb124b9d6a3', 51.7717109, 15.921227, 'Poland', '£ódŸ', '58-263', 'Terrace', 'West', 38, 19),
('def1dab6-2462-4577-ae9c-1ed9ff8d0f77', 50.384945, 23.438111, 'Poland', 'Lublin', '22-670', 'Way', 'Hudson', 54, 13),
('64085126-4edb-4d86-a259-049e2b102a13', 50.0257144, 22.3320424, 'Poland', 'Sosnowiec', '37-120', 'Parkway', 'Mifflin', 20, 18),
('8be9a011-7715-40ef-bfff-ba12eb280abe', 51.1146113, 17.649817, 'Poland', 'Wroc³aw', '46-113', 'Avenue', 'Vera', 49, 12),
('801824eb-025f-4dfd-a5cb-ac2f426b7ac9', 51.1357164, 22.9973319, 'Poland', 'Wroc³aw', '21-044', 'Pass', 'Summit', 26, 23),
('3e877d03-7d88-4102-b8bd-257ad0050635', 50.2650642, 18.9033756, 'Poland', 'Kielce', '41-717', 'Terrace', 'Blackbird', 58, 55),
('58cfd701-c73d-4575-8602-e94e8cf24a1f', 53.996769, 19.698964, 'Poland', '£ódŸ', '14-401', 'Way', 'Pond', 49, 46),
('20f30bea-acfe-4b44-bb13-7cc3712e24e9', 50.9831778, 18.3083298, 'Poland', 'Warszawa', '46-233', 'Center', 'Michigan', 45, 54),
('199cd8d2-4fdb-4936-a9ad-b71355982c0e', 51.3235143, 21.890312, 'Poland', 'Poznañ', '24-123', 'Place', 'Goodland', 65, 51),
('2b8f0dd2-9fa0-43e1-b72e-53772b925092', 52.142598, 20.7175048, 'Poland', 'Olsztyn', '05-840', 'Center', 'Merry', 45, 52),
('023ae775-f7a4-4aeb-a7aa-70876052d4e9', 50.8866749, 21.2296066, 'Poland', 'Szczecin', '27-425', 'Way', 'Carioca', 8, 42),
('d1d8f4fe-b542-45da-983b-6d2228532847', 53.8386511, 22.9882406, 'Poland', 'Poznañ', '05-090', 'Alley', 'Cordelia', 9, 55),
('189b40c6-db04-4725-a50a-77e1f5b800ab', 51.1357164, 22.9973319, 'Poland', 'Bydgoszcz', '21-044', 'Park', 'Cascade', 9, 2),
('9302125e-7029-479d-8cd5-747a005301a4', 51.17404, 22.28024, 'Poland', '£ódŸ', '24-200', 'Court', 'Cordelia', 18, 59),
('33019125-df10-49a6-a225-f624bc45dd6b', 52.7301035, 22.6886729, 'Poland', 'Sosnowiec', '17-123', 'Hill', 'Longview', 48, 4),
('c729c3b6-ca99-4067-88d3-eed5df212a27', 50.58999, 20.057961, 'Poland', 'Opole', '41-221', 'Lane', 'Riverside', 49, 3),
('1cc614be-e691-4a5f-bcdd-141ee4fb2611', 53.6944002, 17.5569252, 'Poland', 'Bydgoszcz', '89-620', 'Place', 'Stuart', 2, 37),
('b58fc644-b244-4ce0-80c0-d70a353f2188', 50.3235719, 22.3273146, 'Poland', '£ódŸ', '37-310', 'Place', 'Center', 72, 38),
('8bbfc98e-86e3-47f6-8fa6-6efcce3972d6', 50.5740977, 22.1623714, 'Poland', 'Kielce', '37-403', 'Terrace', 'Kinsman', 12, 47),
('3bce5168-cfa1-48f1-8df2-1fce11e7acf4', 50.9742202, 18.2111759, 'Poland', 'Bia³ystok', '46-203', 'Parkway', 'Blue Bill Park', 37, 43),
('d7fb17c4-6364-4eb5-83b3-239f71c95021', 52.423387, 20.9739484, 'Poland', 'Szczecin', '61-731', 'Circle', 'Lerdahl', 1, 51),
('a2f3d7cb-a505-4830-84ad-11d334402faa', 49.6302491, 20.6635214, 'Poland', 'Toruñ', '33-395', 'Park', 'Towne', 32, 39),
('cee11218-219c-4478-9695-62eb4845344b', 50.2650642, 18.9033756, 'Poland', 'Szczecin', '41-717', 'Way', 'Jenifer', 30, 49),
('1e7533da-dbbb-4d6d-9d27-24c5b07c86d9', 51.6113555, 19.8982345, 'Poland', 'Szczecin', '97-225', 'Court', 'Straubel', 55, 49),
('3515ed59-76e4-4967-b0db-7668a9306f5d', 49.988725, 20.7001411, 'Poland', 'Olsztyn', '32-854', 'Parkway', 'Reindahl', 35, 6),
('435609cf-8a28-44d4-8570-a2afba4b05d3', 51.5574609, 20.8640191, 'Poland', 'Poznañ', '26-807', 'Pass', 'Atwood', 43, 56),
('45ab4ac3-da5b-43a5-b3cb-da1a9a3d20d0', 54.4823669, 17.486283, 'Poland', 'Katowice', '76-230', 'Avenue', 'Comanche', 21, 24),
('d978c523-ceec-46eb-be07-10ef93cc6a5b', 51.667293, 19.93565, 'Poland', 'Opole', '97-212', 'Street', 'Forest Run', 64, 11),
('9ee5411a-47c4-40ed-8c58-622df0f20b4e', 53.1210091, 17.9794988, 'Poland', 'Bia³ystok', '85-980', 'Park', 'Blaine', 27, 47),
('bba25ef9-6869-4b83-a6cf-a47cdffe0db3', 50.772008, 22.956207, 'Poland', 'Poznañ', '56-306', 'Crossing', '8th', 73, 28),
('8b5e938a-0687-4747-a134-63b7b8fd8a5d', 53.4513, 17.5316201, 'Poland', 'Olsztyn', '89-400', 'Avenue', 'La Follette', 22, 2),
('7bf8b5eb-b8bc-4333-99ff-164da3729111', 53.7548612, 20.4536838, 'Poland', 'Kielce', '11-041', 'Road', 'Clemons', 66, 37),
('71847572-57fb-44d3-8a0c-0de858e1e664', 52.3336578, 20.8869861, 'Poland', 'Bia³ystok', '05-092', 'Street', 'Vidon', 40, 23),
('5f6299a6-a09d-4906-b3d1-ef3c8926fff0', 52.0424689, 21.3991045, 'Poland', 'Opole', '05-430', 'Circle', 'Northport', 58, 30),
('502a8ee4-f404-4cd7-b3a1-8e86d029058b', 53.5281012, 16.0186245, 'Poland', 'Bydgoszcz', '78-524', 'Terrace', 'Park Meadow', 41, 7),
('3dd52522-dadf-4168-a4f5-0577e8877ec6', 50.3142814, 18.9285154, 'Poland', 'Zielona Góra', '41-608', 'Way', 'Vernon', 31, 47),
('b20a461d-27e6-49e4-af82-609601040afd', 50.3748498, 17.9891121, 'Poland', 'Zielona Góra', '47-344', 'Court', 'Novick', 50, 4),
('4cd89e59-d427-4e78-9fb5-256cd24e16a0', 53.068264, 16.136353, 'Poland', 'Bia³ystok', '32-541', 'Hill', 'Pankratz', 60, 20),
('99cd5731-e36d-4537-a42d-3ac9a29c333e', 53.326905, 19.0654716, 'Poland', 'Bia³ystok', '87-222', 'Plaza', 'Northridge', 48, 56),
('ef688ac5-4751-426c-a2e9-037784e084ad', 53.175543, 21.296838, 'Poland', 'Kielce', '06-320', 'Terrace', 'Oneill', 34, 56),
('b2a2a28b-6a83-4b0e-9754-ad21f913da50', 50.367737, 21.275513, 'Poland', 'Olsztyn', '39-306', 'Avenue', 'Onsgard', 58, 51),
('1ab8b5eb-7e09-475e-a100-44e2cd4b5263', 52.476835, 17.0263373, 'Poland', 'Katowice', '62-004', 'Trail', 'Marcy', 56, 52),
('820800c7-d461-4e55-bdb2-c47aafe1d88b', 50.8304668, 15.4781267, 'Poland', 'Kielce', '58-580', 'Park', '4th', 36, 18),
('3bc935f5-77da-4d85-884c-9a84c15094d0', 52.138523, 16.8924785, 'Poland', 'Bia³ystok', '87-302', 'Lane', 'Chinook', 50, 23),
('97450912-d218-473b-a6f6-5023e262a2ae', 51.294469, 22.147076, 'Poland', 'Szczecin', '24-160', 'Court', 'Mosinee', 21, 9),
('a1a01985-4638-4422-8193-5bf697e4ca11', 53.7776927, 15.8278204, 'Poland', 'Wroc³aw', '78-301', 'Drive', 'Hoard', 32, 11),
('cab5fb4c-1e26-4206-ad00-edd9d441ef04', 49.874775, 19.628749, 'Poland', 'Opole', '34-103', 'Avenue', 'Mallory', 12, 59),
('e60ed6c1-913e-43c7-8fb0-b352a56a0ca2', 52.99444, 15.21918, 'Poland', 'Gdañsk', '74-320', 'Park', 'Aberg', 63, 18),
('dd314f38-1073-4f15-a38e-4ea6b3dfaf52', 51.7173795, 15.4240467, 'Poland', 'Olsztyn', '68-113', 'Drive', 'Texas', 42, 8),
('c051afe6-993a-4df9-a37c-d1ea2828c6ca', 51.5021976, 15.8075614, 'Poland', 'Zielona Góra', '59-171', 'Street', 'Dorton', 53, 59),
('a0d93250-c44b-4b56-a7bd-d9e1e2b12113', 49.62406, 20.94789, 'Poland', 'Opole', '33-330', 'Road', 'Lakeland', 34, 56),
('7f34b6e2-9422-4682-883b-0ccc11280d76', 53.42049, 16.81504, 'Poland', 'Olsztyn', '64-915', 'Plaza', 'Elka', 63, 20),
('99337515-6ab0-4d98-9931-9330e6905ef6', 51.4197881, 19.6764505, 'Poland', 'Bia³ystok', '97-312', 'Junction', 'Corscot', 69, 60),
('b105fc23-af3d-4ff0-a9ec-e707989f8bf1', 51.6256317, 21.9326303, 'Poland', 'Lublin', '08-500', 'Alley', 'Becker', 40, 56),
('d38fdebd-30a8-4869-a1d8-3c33cd19ce10', 49.9514305, 19.7973419, 'Poland', '£ódŸ', '32-060', 'Pass', 'Browning', 61, 59),
('cf414e5e-cd2d-40f8-bdd6-d7637375e006', 51.95914, 21.53057, 'Poland', 'Kraków', '08-440', 'Junction', 'Gina', 74, 42),
('f2b96ee9-39ae-4fef-81e3-08420d4fa21a', 51.8759458, 16.0718133, 'Poland', 'Poznañ', '67-410', 'Road', 'Debs', 79, 50),
('7a0f1fe0-6ea6-4ed5-a6a1-5b07b479517b', 51.6705464, 16.980572, 'Poland', 'Kielce', '63-910', 'Hill', 'School', 29, 15),
('e9fab7a9-1e64-4bde-9139-4312336410f3', 51.3106091, 21.2523841, 'Poland', 'Toruñ', '26-640', 'Place', 'Kings', 2, 6),
('c58c9fc9-d9eb-4e4a-9c37-268b73c0a7cb', 51.777114, 16.818952, 'Poland', 'Olsztyn', '64-810', 'Avenue', 'Reinke', 33, 25),
('9e8d0923-4b79-4feb-b3af-35a57b3df9ed', 50.15621, 23.12379, 'Poland', 'Warszawa', '37-600', 'Hill', 'Scoville', 28, 35),
('397d473f-70f6-44a9-86fe-3eac6361dc8e', 50.9409245, 20.9571249, 'Poland', 'Warszawa', '26-010', 'Point', 'Fordem', 56, 50),
('1c4b621c-572d-404a-972d-6ddef604f71d', 49.9857805, 18.9477092, 'Poland', 'Sosnowiec', '43-200', 'Hill', 'Moulton', 40, 38),
('151c29b0-e15f-4d72-99db-96512993c10e', 49.5288417, 19.0293816, 'Poland', '£ódŸ', '04-358', 'Terrace', '8th', 11, 31),
